sample_HFS166	sample_HFS167	sample_HFS168	sample_HFS169	sample_HFS170	sample_HFS207	sample_HFS208	sample_HFS209	sample_HFS210	sample_HFS223	sample_HFS224	sample_HFS225	sample_HFS226	sample_HFS227	sample_HFS268	sample_HFS269	sample_HFS270	sample_HFS271	sample_HFS272	sample_HFS318	sample_HFS319	sample_HFS320	sample_HFS321	sample_HFS322
AAGAB	22.26919	14.71255	22.87787	17.70685	20.09965	15.33488	21.46555	19.39741	17.39908	17.70439	19.90896	24.786186	22.50985	19.5281	24.8167	16.74158	22.40197	22.21572	19.22701	20.14369	18.122731	23.16578	23.21493	20.9525
AAK1	0.795194	0.529692	0.795162	0.474447	0.533187	0.455244	0.521561	0.489866	0.770575	0.690026	0.944625	0.89432	0.795134	0.625478	0.523545	0.619102	0.678364	0.93471	0.874597	0.73562	0.977311	0.874233	0.577063	0.608642
AAMDC	28.9789	23.949927	43.773169	42.841953	45.815718	41.07801	40.408571	18.397562	30.4614479	37.507681	32.892873	35.789173	39.030726	22.808268	25.663088	24.385038	26.875114	31.913411	26.010062	18.142583	33.195543	31.629685	34.069683	37.04898
AAMP	105.25609	90.2163	124.48947	108.90508	107.1224	89.07802	100.08343	105.36773	93.85649	97.74062	97.54204	106.21582	108.37171	94.38529	114.03575	106.80796	119.2258	97.03249	98.083584	101.79153	92.03204	104.65872	122.05183	111.99882
AAR2	7.74239	9.59244	12.5318	10.6778	13.0327	6.72461	10.1892	8.89385	7.59052	10.7321	8.36806	10.4909	12.5584	9.13109	9.5725	11.1002	11.3745	11.2754	9.96082	8.05258	8.46775	8.58373	8.9847	9.65427
AARS1	68.9194	70.388	63.9826	61.4578	68.3644	78.9809	78.4905	53.9401	81.6094	55.5348	69.1104	75.1579	61.2437	70.3763	76.7058	85.7227	88.6094	76.3266	64.9645	67.5254	70.6979	51.6359	75.3975	71.0798
AARS2	11.3828	10.5519	12.865	13.6917	12.1107	9.93082	11.8091	10.9513	9.05127	12.8307	10.2462	11.9094	10.121	10.1472	14.3656	12.1721	14.7121	15.2696	14.978	11.105	10.354	13.7016	16.126	14.7337
AARSD1	27.0654	31.8431	27.2911	25.556	26.638	28.6403	28.681	33.1807	27.5368	22.2938	46.8772	40.1514	34.8137	37.0596	44.6008	30.6408	37.9925	31.5686	27.5376	23.572	31.9847	27.6598	40.2874	32.4102
AASDH	4.61579	4.601279	5.06257209	4.9464298	4.54906	4.892685	4.164477	4.28245	3.82853632	4.437002	4.312019	6.978	5.580763	4.218418	7.216516451	4.548371	6.07611707	5.844358	5.31616	6.100428	3.8486552843	5.911986668	6.730456	5.116309
AASDHPPT	39.9681	42.33359	43.4996	46.3772	48.86828	25.0192	42.61076	27.9347	42.69255	35.6497	52.5208	45.73487	51.3756	48.24016	36.6728	23.3288	30.609737	33.7908	35.243832	38.90095	37.443	49.6099	21.7515	34.30124
AASS	188.824	162.055	151.735	164.27	152.975	147.061	151.861	113.271	150.064	139.632	154.331	189.918	183.457	155.206	151.187	101.29	145.348	167.953	141.944	240.401	187.236	176.528	121.326	123.286
AATF	2.86875	2.54787	3.73164	3.29475	3.48091	2.53954	3.7523	2.36448	2.3418	3.372	2.94187	3.77853	2.92647	3.57239	3.31387	2.67866	2.99109	3.26565	3.26524	2.1267	2.20787	2.63801	2.59415	2.38777
AATK	4.61687	4.40676098	5.43453	6.1362526581	6.424449	3.77877	4.55282	4.90895000875247	4.89564	6.269575448	4.850243	6.63447	5.22829	3.26203835512	10.22011	8.3224798391	7.840073332	9.08430000024193	9.16456404131	4.197367947458	5.21219	6.2113045609723	6.760184146	7.713513
ABAT	775.733	641.092	621.415	682.856424	686.381558	611.001299	677.864	525.662238	536.81418	932.184	760.99135	860.155	747.975	859.922	874.285414	514.614	936.54312	753.20415	837.895516	891.057	1033.4	940.6031	1100.05	916.118
ABCA1	29.7272400005918	15.1987000085319	15.718450146692	15.9456000005099	13.1957279875	13.4912800006273	14.49995047747	13.0609600018643	18.41155	14.7342900007377	11.781046	12.491293280755	12.6836900010743	16.347305	17.2275700003264	10.37232	4.6541108	15.3788300011043	8.5308633956	17.6621390027793	11.913067163114	14.0520200068167	10.5583197762968	10.7225360703309
ABCA12	0	0	0	0	0	0	0	0	0.0139776	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA13	0	0	0.0145919	0.0246435	0.00776534	0	0.0145009	0	0.0170352	0	0.00921998	0.00965294	0	0	0.00727819	0.00722021	0	0.00701065	0	0.00591997	0	0	0.0162908	0
ABCA2	0.970784	0.821873	0.817295	0.68352	0.720803108	0.704022	0.6790121472	0.90199027	0.9138800471	1.13392	1.63845	1.452970766132	0.481148	1.02428	1.88722	1.86063	1.28594	2.0198	1.69787	1.52655000067711	1.68763000591267	1.25934	1.773418369	0.893799
ABCA3	3.13853	3.80686	4.30044	4.54547	3.79149	3.49953	4.19511	5.42339	3.93388	5.06787	5.29395	5.28393	5.95401	4.28009	5.29096	5.03754	5.83933	5.71162	4.47713	5.12321	4.25415	5.05401	7.55568	5.7062
ABCA4	0.0147987	0.0128628	0	0.0154256	0.0145852	0.0413236	0.0272474	0	0.0160126	0	0.0346526	0.0181452	0.0188243	0.0707282	0	0.0271277	0.0679419	0.0263397	0.078667	0.044527	0.0385905	0.143495	0.0459174	0.0141758
ABCA5	3.3051151281	3.24873007130318	2.255938	3.4122586	2.65055	1.85906383407	2.312211	0.747785000221262	2.0398020119079	3.6684167	1.578228276357	1.4095350154025	1.33963500103323	1.4503652733	2.71741530050959	1.5126117	1.23276500019509	2.3048368	1.94930208031875	1.85789079120843	2.05665688343046	2.7027532649	2.24246787323342	1.8191377
ABCA6	131.913	111.06	93.2104	87.5225	121.133	78.2039	72.4892	79.6902	83.3487	52.7765	97.3813	132.475	96.6551	90.1867	74.1571	64.3444	59.2443	66.34	72.6306	133.616	92.364	83.6801	68.4683	60.2167
ABCA7	0.45427	0.513301	0.61688	0.678682	0.80587	0.690638	0.306681	0.42757	0.491544	0.512818	0.514132	0.686975	0.365962	0.325671	0.475664	0.374723	0.583897	0.781578	0.496377	0.535359	0.644952	0.278966	1.26856	0.594694
ABCA9	0.183319	0.269133	0.185924	0.133989	0.143573	0.169564	0.0841717	1.04229	0.119462	0.0974002	0.106988	0.0897705	0.231657	0.0652946	0.372285	0.167312	0.388952	0.0972388	0.21076	0.361535	0.619529	0.266833	0.0941873	0.104664
ABCB1	36.990399	28.6621	31.349419	29.688443	35.7779234	40.556326	49.282001	32.744125	42.976334	55.271591	59.255076	67.908054	39.302403	36.803842	33.46825	43.2437	27.602591	22.13289	38.8055	39.776168	29.115343	23.296561	23.21579	24.1153052
ABCB10	16.3341	14.0846	12.9144	17.5911	18.8222	16.1884	17.5662	14.1239	20.8391	24.5477	23.1971	19.5446	18.1327	24.5106	19.7684	11.3135	8.74469	14.8888	18.6685	20.7655	18.4268	21.8782	13.1588	15.802
ABCB11	73.9687	36.4348131972	41.0956074084	47.87700042576	43.39050106075	69.9251	92.5589000076861	49.7219919304	70.8998	81.75999	98.4694	91.9274	76.7560319939	57.6503000004693	38.3081175936	34.952700059631	53.31260656496	55.1195000060581	48.12997	56.9879	48.8401000443034	61.202484219	48.54914	46.157628625
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	35.4597	19.2837	24.6382	31.0403	37.1846	30.1748	28.8491	35.2237	27.5231	36.793	31.883	35.7471	36.2504	32.1289	34.5155	26.9335	33.5712	36.6152	37.1761	34.3299	30.426	32.8491	54.4303	39.6458
ABCB7	13.6538	12.7174	11.4879	10.6485	14.5901	14.7201	18.2157	13.578	17.129	19.9242	20.3054	17.1482	13.8377	18.6694	14.6683	10.1875	14.2263	13.6236	15.6028	15.9765	14.9246	15.9902	15.4587	13.2747
ABCB8	14.6839	13.8835	16.8099	19.2	19.8522	9.65097	14.1339	17.3981	15.1731	16.0382	15.5582	16.6971	18.3636	19.1237	26.2021	29.5097	18.7312	22.5152	26.015	18.2745	17.363	20.3661	28.3726	25.2865
ABCB9	28.738941	29.562212	23.51837	39.051663	45.56685	36.70668	40.84857	39.66813	36.90651	38.389113	38.402084	44.67905	61.21645	41.671495	63.05098	38.264309	66.50031	49.78198	52.245668	40.156106	39.968209	41.34094	67.32722	51.004414
ABCC1	1.2846	1.42574	0.702401	1.24855567528	0.74978477	1.04167218	0.4058211	1.32929	0.929286791	0.930174	0.749165	1.27069	0.48205613	0.84974837	1.23803	0.74364997	1.36091	1.160289	0.43343192	0.707776	1.2879600288886	0.83058104	1.08549	0.3839154
ABCC10	5.24491	4.03285	7.00107	7.54155	5.73705	4.58565	4.53106	5.12517	3.12232	5.61712	3.70813	5.20916	4.38711	3.89524	7.69016	6.67356	7.29757	5.97662	5.50433	4.93406	3.05092	4.45831	7.1352	6.04005
ABCC11	0.0246013	0.0213837	0	0	0	0.0229106	0.0905819	0.0925759	0.0799043	0	0.0288042	0.0905343	0.0625665	0	0.1136	0.135233	0.360241	0.19695	0.152553	0.1667	0	0.119201	0	0.0235532
ABCC2	101.384	99.1776	80.9748	80.0183	73.0879	107.187	138.618	93.7823	95.4942	110.62	131.091	105.53	101.028	114.763	112.291	67.3032	92.8351	73.6116	101.214	89.1125	101.359	79.398	96.6242	105.796
ABCC3	0.64768	0.904153	1.07174	0.858823	0.850821	0.767468	0.487819	0.775689	1.55072	2.18178	1.9992	2.38296	0.723885	0.750535	2.46563	1.69061	1.45737	3.1607	1.09542	1.78717	1.2284	1.8835	2.17194	1.39088
ABCC4	2.04425	1.9884208769	3.9415918	3.72541	4.21853	1.40514	3.293095285	2.17503	2.45032	3.0414	2.36499	3.49277	2.93993	2.53054	2.52453	2.7896047	2.100008	6.01813	2.565480499052	3.40794	4.9929	2.573983	4.48	3.54158000272231
ABCC5	11.09064	8.462185	16.4877700124449	17.4784911396667	8.845816	6.1886677471778	3.97360600204582	8.42195000995379	7.19795	6.74924000221884	6.96996	9.329885	15.94561	10.604399	7.941378	7.111587	11.299770824127	10.888213	9.47855	9.882636	8.5650500195348	6.84156496077	9.902819	9.68429000052422
ABCC6	65.5387	68.248	89.8431	97.6076	56.313	54.882	57.2746	58.5026	41.1513	66.8333	55.1435	61.8377	58.9431	62.5315	102.336	93.7684	110.082	86.698	80.1272	94.4509	87.8053	80.9199	152.574	102.032
ABCC8	0.18750608	0.09054337	0.115684951	0.043406829	0.06157169	0.232687	0.057534236	0	0.135339	0.22058824	0.1951505	0.10220626	0.026495353	0.07469258	0.07697393	0.13363651	0.21000325	0.315181	0.4611893	0.282315	0.760842	0.3837	0.430767	0.458973
ABCC9	1.74191	1.41636	0.377222	0.33681	0.539983	0.379174	0.672486	0.714029	0.683968	1.1298	1.3322	0.981756	1.14364	0.805646	0.947492	0.360526	0.412865	0.787622	0.560065	1.05661	1.94148	1.38943	0.493989	0.9689
ABCD1	55.4522	26.4603	27.8988	28.2486	26.1084	23.2718	26.9885	31.0083	21.3882	37.2497	25.0462	34.0039	40.623	25.2979	38.7061	28.9337	38.2944	31.837	33.3767	51.3035	37.4531	35.5405	47.7817	40.6574
ABCD2	0.596184	0.888366	0.262558	0.709243	0.614965	1.13709	0.783946	0.427243	0.58412	8.15092	3.52346	4.70222	0.794114	0.542968	1.54664	0.936189	2.69872	4.69625	0.855035	0.705603	6.39244	4.67585	2.02582	7.17409
ABCD4	39.43189	20.64692	25.68859	28.63333	19.994202	22.631484	26.091115	26.5399	19.205735	27.46891	28.468612	34.09234	23.63594104	23.250234	47.96191	30.735985	37.62822	30.216127	32.084737	32.778119	19.064082	32.36277	33.39126	26.68971
ABCE1	52.641	45.85628	41.949772	42.703	47.50672	57.223897	58.77025	35.8841	62.57752	56.70788	61.53174	64.369569	48.5187	56.80596	57.86717	39.20897	31.6056	55.9891	46.03412	49.33697	41.83681	44.1509	37.9807	38.39161
ABCF1	44.3363	38.3036	32.8691	29.0879	35.5281	29.3853	35.4615	28.2907	33.3957	33.8927	32.6576	40.1129	38.4613	32.2558	38.9342	34.0161	34.9989	35.9381	34.2463	31.246	28.5948	28.616	43.5096	32.1185
ABCF2	30.722094	22.0426	29.556651	25.416457	27.920479	21.493373	25.834216	20.9582	21.83405	26.418364	28.589362	31.5841	30.5423	28.0369	27.95689	29.738399	33.396075	29.77994	28.824195	25.4251	27.53611	23.21319	31.122065	28.20088
ABCF3	43.8248	35.4419	34.752	32.2864	34.0386	35.2259	36.6133	32.2354	33.6818	37.9733	30.5472	35.3466	37.4747	33.3839	33.0917	31.7801	30.9269	34.1772	35.4039	28.8964	32.6989	34.2349	38.456	33.6435
ABCG1	11.13566	8.750369	7.48878	5.952159	5.78446	5.010352	4.792054	9.008258	7.226727	6.83273	5.715522	7.09472	2.9922	3.54053	5.294811	6.817078	6.20862	5.39372	4.27547	12.27272	8.62088	7.568794	16.26994	5.30138
ABCG2	157.20184	164.818628	183.6203	176.728856	198.91938	109.335	87.0581	69.142469	80.13	51.2808	47.25167	72.1504	86.7068	69.679044	36.7999	35.25563	60.27861	33.6766	53.81175	66.10415	44.90842	48.343371	29.3886	62.7935
ABCG4	0.472878	0.228351	0.486015	0.328227	0.232837	0.195742	0.338547	0.271838	0.426679	0.194795	0.39987	0.322287	0.367451	0.37681	0.169821	0.433201	0.576712	0.584168	0.721429	0.553905	0.433936	0.432746	0.27169	0.528139
ABCG5	25.1073	19.2023	27.9429	37.8152	21.34	15.0257	27.5654	27.0254	27.9309	25.1665	26.9389	36.0019	21.0813	21.3989	17.393	26.1277	27.7353	27.3754	29.6762	20.8254	16.0242	23.4007	31.0297	37.8013
ABCG8	45.6726	36.4995	65.7453	49.8373	35.7288	26.7831	62.2183	53.6389	34.4332	51.9952	35.4633	43.0578	28.9072	42.8423	55.4676	64.493	55.1361	60.1085	64.4808	56.1184	20.3541	32.3876	50.6974	39.2544
ABHD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.258492
ABHD10	2.488343	2.98673	4.687632	5.44503	3.37171	5.43501	3.40892	4.93244	9.96183	9.08771	6.826371	5.72817	2.854163	9.50177	5.9968	5.93565	2.65992	10.89778	11.57215	4.78668	6.42181	6.90569	5.97553	6.15064
ABHD11	17.943608	18.228291	19.65708	26.82885	23.318608	14.00272	17.67037	18.83666	16.833177	19.871568	24.898	20.90384	27.408543	22.857528	27.054208	20.7044	30.263658	22.48965	23.985015	16.763062	19.445	19.37038	27.24867	23.242032
ABHD12	30.8734	26.3028	28.4556	32.2915	33.8739	26.7736	31.9315	40.4155	19.8398	30.1937	44.6502	38.621	49.8065	35.394	53.8869	39.7481	60.4457	41.26	50.6686	33.9994	41.8578	41.8125	43.7382	57.3403
ABHD12B	1.38527	3.50672	4.11409	3.8578	2.65062	1.12153	0.956528	1.69727	1.07605	5.33904	2.89479	5.11644	4.60124	2.95119	2.27182	1.63769	0.979029	2.8131	3.22201	1.63414	2.45669	1.76245	3.01203	1.96792
ABHD13	12.8776	8.84446	9.84618	8.15868	10.1696	11.1255	12.0097	10.9052	14.4418	12.6292	9.26886	9.58009	11.1686	11.3782	9.84713	5.55168	5.99637	9.31564	8.77122	11.599	11.5431	10.2515	6.94294	8.38931
ABHD14A	18.25099	19.19689	18.27835	21.035356	17.32156	29.0709	23.41376	35.922481	18.269163	27.15985	30.98037	29.99673	20.66127	24.63163	27.23304	22.13878	30.80304	27.20483	33.92312	25.47427	29.57198	27.64746	29.76026	27.228857
ABHD14B	154.333	209.118	206.159	245.184	209.61	285.867	392.824	288.098	241.435	333.769	354.981	391.933	350.274	346.995	336.682	266.827	369.539	384.763	386.855	256.336	276.036	298.598	288.334	354.337
ABHD15	8.57301	8.39708	19.6563	18.2289	20.8175	11.2661	11.7767	8.78715	13.9519	16.7365	16.26	12.3139	22.8507	12.9308	9.90912	7.40011	6.82481	9.811	13.4714	13.5448	6.56336	10.0992	10.7989	14.0183
ABHD16A	62.1459	49.508	49.3696	48.8635	44.095	43.9136	57.4439	61.6545	49.0418	50.0445	52.7437	56.9982	58.6508	64.8966	61.3739	40.0212	54.5369	47.7767	54.4806	51.2748	50.3152	47.8769	51.4165	53.7845
ABHD16B	0.0749511	0.130313	0.345216	0	0	0	0.0689522	0	0.0813886	0	0.0877701	0	0	0	0.138134	0	0	0.0665111	0	0.056694	0	0	0.232457	0
ABHD17A	115.136	99.1199	157.112	145.188	177.228	65.9757	84.6415	111.665	111.695	107.084	106.782	117.05	128.51	132.216	195.202	184.464	195.166	179.53	146.443	142.218	139.681	170.658	193.155	220.361
ABHD17B	3.72745	3.57756	2.90605	2.74546	2.94154	5.06609	5.03862	6.27808	6.56329	3.95228	3.81889	3.95579	3.60257	3.66777	2.25767	1.422	1.98051	2.27796	2.23532	5.03471	5.33406	3.57138	1.32499	2.08009
ABHD17C	1.02147	1.37126	1.99583	2.98703	1.83844	0.374025	1.03898	0.304632	0.975897	1.15122	1.25756	1.80728	1.08802	1.77186	2.78503	1.29854	1.62506	1.56476	0.974086	0.695683	1.69929	1.61988	1.3024	0.969132
ABHD18	87.5521	69.0139	93.2416	109.266	98.8068	55.3396	63.1094	61.2464	53.4336	73.3004	67.387	73.8305	76.0558	64.435	80.8395	72.294	96.7781	87.5744	81.4136	87.1678	84.8183	92.4329	118.521	90.3653
ABHD2	9.810642	11.82268	12.360779	10.62102	10.696576	9.812205	24.211491	14.750226	26.648517	34.743436	35.651348	52.760225	22.221414	22.406015	41.46506	58.03655	19.795967	33.797554	47.877294	30.309618	26.29012	49.045362	39.91803	23.087982
ABHD3	185.809	205.187	133.915	176.808	181.569	206.028	266.548	220.085	297.645	203.406	222.809	229.173	229.72	232.161	192.741	141.617	111.959	203.041	171.498	197.323	206.399	225.137	76.4627	147.6
ABHD4	83.6692	54.9111	72.4876	67.0668	75.3615	63.0442	74.7981	78.4382	45.795	52.1216	72.233	67.0684	70.855	50.3514	74.5914	84.0984	78.4131	56.6385	65.9302	74.3418	56.219	56.0421	73.8174	65.7936
ABHD5	15.1003	10.3248	6.4807	12.7317	10.5655	27.4221	22.2398	16.7868	18.5268	17.6949	16.4913	13.3568	16.2566	15.4407	15.5498	8.2166	16.9707	34.0108	12.4654	22.6724	33.1366	17.2819	15.8729	11.7381
ABHD6	58.9598	73.4831	60.1244	81.697	71.6082	59.8879	54.8665	61.0018	76.5537	50.1699	92.888	104.324	107.855	121.453	120.69	65.0249	65.5255	72.3343	70.2045	97.3974	107.649	63.0681	68.1426	100.435
ABHD8	5.44225	4.3239	7.07158	6.0122	5.05954	2.45676	3.98456	3.62704	5.39606	4.72308	3.63175	4.45751	3.41916	4.62105	8.41832	6.47746	4.97767	5.6647	5.28536	5.56882	6.46339	5.03652	7.07907	6.0955
ABI1	23.029822	24.804424435	20.038704	20.184923698256	20.998467	23.466233538874	25.99480096	17.569140273743	23.1344575260456	22.514962	25.021877	29.49992	22.348595624349	24.67267	17.11167	12.062567	12.7489120607641	16.4756206856541	17.085447827622	25.7154058	23.441018	22.015515	11.6564100005528	16.419853
ABI2	3.085321	2.344428	4.08563000367349	3.2395372	3.51014402474	3.23104877195466	3.3839084608271	2.637315	2.716001	3.44711990024712	3.53172845406597	2.8306315	3.65362463725806	3.56049702300227	3.844797	1.96107876016203	1.72204107	2.8199398	2.61073357316	2.75608250061158	3.14890929	4.3571347	2.68634524728	2.42272631
ABI3	1.969537	3.31149	1.81326	2.2948	1.38816	2.35458	0.7361738	2.022618	2.671434	1.37058	2.450392	0.7562385	1.172489	1.620196	1.078204	1.914132	1.77746	1.912864	1.46891	1.5782	3.158081	2.37627	2.036261	2.117007
ABI3BP	3.01249	3.12081	0.97278	1.80689	1.01825	1.64677	0.709427	1.4505	1.85751	2.03934	1.86605	1.61083	1.26977	2.03008	1.56946	2.47187	0.562357	0.654557	0.744802	1.87126	2.37504	1.54518	0.85137	0.603892
ABITRAM	7.48092	8.3412	11.9044	9.28596	10.5995	8.04312	10.8239	8.02234	8.48049	9.69215	9.8237	9.53127	11.0761	12.5899	12.4137	9.42741	8.18874	12.6954	8.72634	9.48435	10.1457	10.4315	10.0287	11.1954
ABL1	10.897972	6.7493101	12.21012	10.16703	8.91153	6.568039	8.19411	15.69958	11.2265	14.90856	8.77944	10.04331	11.09045	11.3561	13.12938	13.51724	13.6733	14.6913	11.24198	11.7914	12.18078	14.70155	18.07294	13.7245
ABL2	7.027295175971	4.922961667159	5.1122980599667	5.533654279508	5.45736225489	3.841725203106	5.635690375029	5.568360771999	4.66062000447971	6.871165644725	4.235597368691	4.97174584196	5.24516116508	4.460946255955	5.932360965797	4.5837204760403	4.96952400015571	4.4128660720455	4.65631587678	4.55401	5.22496378388	4.352431602709	6.40375177327	4.333504447449
ABLIM1	27.2811853	24.927244	19.8779	17.13178	25.759196	25.563883	26.115386	28.025223	35.154202	30.562046	29.898144	26.658006	25.205803	30.81713	24.64454	19.404283	21.99772	20.45305	21.141146	56.846568	20.456523	38.717764	29.369542	21.536898
ABLIM2	1.837908	1.49415	2.02923	2.053015	2.060994	2.35248	2.84257	2.62418	2.488446	4.72327836	3.031614	3.831686	4.001454	2.412445	5.442709	4.025807	4.249546	5.809825	4.704682	3.05523	4.809412	4.978971	5.39299	5.186844
ABLIM3	65.6497538966	49.4034163316	91.494090502	86.01345167619	59.2541000434607	52.00812283647	54.6869765999	54.50364123	59.7567000009015	52.1979801846	41.408659039	52.306777613	46.7739374994	65.50930012759	71.42581842	34.662477213	36.396927117	46.1019026063	45.7206844204	21.6505786579	39.06604525	45.6404329406	40.358000388347	51.5673538483
ABR	20.0344720082789	10.485832	11.13382	11.5215389078	11.949304	7.0203594	6.575683	12.2004	7.14953	11.907447	10.87641148	10.797606	13.09439	11.043042	16.65450208542	16.683885	11.368121	15.862129	13.520974	12.380072	11.5987966	14.369	14.257362	13.710341
ABRA	3.05888	0.935678	5.6481	5.42078	2.61363	0.95584	3.78704	1.23642	2.42984	3.28068	7.93655	1.79344	8.13959	5.84687	1.27962	1.73692	1.07817	1.58554	0.615455	0.767714	1.22552	2.75731	3.00723	3.59244
ABRACL	9.98988	9.26254	5.914004	7.80102	8.082376	5.138716	3.35462	4.36374	5.19192	6.63515	7.111948	9.10445	3.276401	6.336952	5.352378	3.309492	2.48558	10.759754	4.226312	9.990502	6.037043	6.681771	1.17821	6.05939
ABRAXAS1	1.05193	0.995042	1.80226	1.28789	1.85791	1.12408	0.42716	0.989289	1.27334	0.983544	1.01431	1.40465	1.21936	0.517802	1.314	1.21851	0.960681	0.742842	1.17844	1.16538	1.02214	0.929078	1.08785	1.48054
ABRAXAS2	30.8666	24.5698	18.4314	20.8843	17.9564	19.0982	23.8118	18.983	27.5401	20.5626	21.0777	21.3067	24.9277	16.8275	22.1385	19.9898	16.9389	23.3653	20.3466	17.3271	38.43	24.7185	27.8352	23.364
ABT1	32.041	33.6844	26.3496	31.8703	30.3074	28.5621	42.4161	41.4347	34.5805	36.4766	30.7999	40.3026	52.7577	36.8122	40.3249	38.9351	34.7838	45.23	36.6423	25.828	38.9395	40.5543	43.5376	40.5377
ABTB1	26.6978	30.1816	26.1795	31.7904	31.9476	23.2756	27.736	29.009	22.2374	29.8266	30.6757	30.7275	30.8023	33.5972	51.5416	41.9587	65.2982	25.6529	30.853	27.1322	25.8361	29.265	44.9684	37.2431
ABTB2	28.7256	18.4486	20.105	15.8488	14.063	10.3095	7.19329	12.2303	13.2647	17.4209	9.96845	18.7573	16.5619	25.9727	18.3322	17.5452	14.2839	10.0837	19.6995	12.2749	17.3399	13.7202	17.8098	16.4645
ABTB3	0.316292	0.46987000200386	0.328414	0.224968	0.3013690019781	0.432791114128	0.15551600113675	0.158988000957243	0.237656	0.53643000208281	0.486016	1.28275	0.2112	0.317453	0.738687	0.639147	0.405242	0.8426436	0.338347	0.41252706	0.49153	0.692245	0.390753003150248	0.1499241
ACAA1	463.705	624.398	558.955	606.913	641.527	468.432	896.131	632.157	800.314	821.311	864.519	723.284	660.42	703.923	898.711	646.781	1059.79	819.811	725.84	546.717	499.009	531.078	696.787	765.853
ACAA2	428.959	396.503	382.334	470.223	465.563	473.718	576.918	499.751	624.312	571.318	457.003	483.69	560.19	475.055	679.757	639.076	648.803	691.55	871.795	589.764	494.305	569.236	794.044	706.234
ACACA	3.875683252	2.4434438547035	3.8197408244825	3.73000447524632	3.99343034522	3.9591035973	2.14221062642	4.2948451418	1.6002377657123	4.06007591666844	3.06820162	3.183601498583	3.3944208288	2.1546583423048	4.534093926832	3.1884604765975	3.1312319625	4.236521533	3.78886972105729	3.6633924508444	3.48566558177	3.8097409061	5.25716703982	3.07061948
ACACB	43.87902	40.63172	39.2264	45.3993	40.2571	32.02767	33.80472	41.8416	35.7516	44.0107	51.1198	51.1524	80.3913	35.48288	40.8761	41.2047	57.881	41.7749	54.2441	26.34065	38.3698	30.3437	56.2291	34.1082
